SUBNUM,Age_Months,Score
1503,50.44,65.0
2510,56.54,67.0
1502,49.78,68.0
1906,52.15,69.0
2314,53.24,69.0
2508,52.19,72.0
2311,60.36,72.0
2209,59.27,74.0
2515,59.31,74.0
1704,51.89,76.0
3207,56.08,76.0
2005,56.27,76.0
1523,58.35,77.0
1912,58.98,77.0
1515,59.87,78.0
3105,60.43,78.0
1914,50.84,79.0
2324,51.69,79.0
1904,52.35,79.0
1528,52.78,79.0
2412,52.88,79.0
1701,56.08,80.0
2503,58.09,80.0
1530,49.42,82.0
3201,50.87,82.0
1601,52.12,82.0
2602,52.88,82.0
2325,60.76,82.0
2705,53.90,83.0
2406,55.29,83.0
2625,56.64,84.0
2638,56.74,84.0
1603,49.95,85.0
2911,51.49,86.0
2007,54.36,86.0
1901,54.63,86.0
3203,56.18,86.0
2306,56.24,86.0
2516,56.54,87.0
2301,58.25,87.0
2309,47.80,88.0
1802,50.01,88.0
1801,50.31,88.0
2904,62.54,88.0
3404,62.80,88.0
2703,50.87,89.0
1913,51.13,89.0
3202,51.30,89.0
1504,51.96,89.0
1911,60.46,89.0
2010,60.96,89.0
1806,47.44,90.0
2704,53.90,90.0
1903,54.96,90.0
3204,55.52,90.0
3408,57.03,90.0
2702,57.26,90.0
2804,57.69,90.0
3206,52.15,92.0
2808,53.47,92.0
1607,60.30,92.0
2414,60.49,92.0
2103,60.76,92.0
2310,56.80,94.0
3013,57.23,94.0
3001,57.40,94.0
2615,57.53,94.0
2002,58.15,94.0
1605,58.85,94.0
2905,75.36,94.0
2320,47.54,95.0
1608,50.18,95.0
2206,59.77,95.0
2308,60.99,95.0
1602,50.74,96.0
2403,51.40,96.0
1512,52.65,96.0
1809,52.81,96.0
1612,53.60,96.0
3011,54.00,96.0
1803,56.21,96.0
1910,57.13,97.0
1516,57.30,97.0
2323,57.99,97.0
1524,58.25,97.0
2318,58.25,97.0
2612,58.38,97.0
2302,58.75,97.0
1908,58.88,97.0
2642,50.70,99.0
2912,51.40,99.0
1506,51.53,99.0
1526,59.64,99.0
