SUBNUM,Age_Months,Score
SEL66E125,61,54
SEL66E126,50,54
SEL66E127,59,82
SEL66E128,51,87
SEL66E129,52,55
SEL66E130,49,54
SEL66E131,52,54
SEL66E132,52,54
SEL66E133,59,54
SEL66E134,55,56
SEL66E135,51,56
SEL66E136,55,59
SEL66E137,58,82
SEL66E138,56,54
SEL66E139,56,54
SEL66E140,55,54
SEL66E141,58,73
SEL66E142,43,54
SEL66E143,60,54
SEL66E144,56,54
SEL66E145,49,73
SEL66E146,62,92
SEL66E147,58,70
SEL66E148,56,54
SEL66E149,43,85
SEL66E150,49,-999
SEL66E151,54,-999
SEL66E152,54,76
SEL66E153,53,85
SEL66E154,45,59
SEL66E155,51,64
SEL66E156,53,68
SEL66E157,46,61
SEL66E158,57,54
SEL66E159,43,66
SEL66E160,51,89
SEL66E161,49,54
SEL66E162,60,66
SEL66E163,58,84
SEL66E164,60,96
SEL66E165,42,85
SEL66E166,46,103
SEL66E167,39,59
SEL66E168,45,110
SEL66E169,47,61
SEL66E170,42,84
SEL66E171,39,55
SEL66E172,55,101
SEL66E173,38,98
SEL66E174,51,59
SEL66E175,58,84
SEL66E176,49,59
SEL66E177,42,67
SEL66E178,52,96
SEL66E179,60,110
SEL66E180,38,55
SEL66E181,61,105
SEL66E182,54,80
SEL66E183,44,54
SEL66E184,49,54
SEL66E185,59,84
SEL66E186,56,70
SEL66E187,61,129
SEL66E188,37,57
SEL66E189,57,92
SEL66E190,46,54
SEL66E191,59,104
SEL66E192,60,82
SEL66E193,57,66
SEL66E194,47,68
SEL66E195,52,54
SEL66E196,50,61
SEL66E197,44,56
SEL66E198,52,98
SEL66E199,56,54
SEL66E200,55,92
SEL66E201,40,82
SEL66E202,45,54
SEL66E203,44,55
SEL66E204,49,54
SEL66E205,54,94
SEL66E206,40,94
SEL66E207,60,101
SEL66E208,59,95
SEL66E209,51,100
SEL66E210,41,82
SEL66E211,48,108
SEL66E212,60,101
SEL66E213,61,75
SEL66E214,38,82
SEL66E215,61,65
SEL66E216,60,54
SEL66E217,59,62
SEL66E218,47,67
SEL66E219,56,101
SEL66E220,51,87
SEL66E221,59,78
SEL66E222,61,54
SEL66E223,59,75
SEL66E224,38,84
SEL66E225,57,109
SEL66E226,58,96
SEL66E227,49,94
SEL66E228,56,90
SEL66E229,48,75
SEL66E230,50,54
SEL66E231,54,67
SEL66E232,58,54
SEL66E233,55,94
SEL66E234,41,55
SEL66E235,61,87
SEL66E236,46,56
SEL66E237,49,90
SEL66E238,43,55
SEL66E239,40,55
SEL66E240,39,73
SEL66E241,59,91
SEL66E242,42,83
SEL66E243,40,61
SEL66E244,54,88
SEL66E245,57,92
SEL66E246,52,56
SEL66E247,54,54
SEL66E248,54,116
SEL66E249,57,99
SEL66E250,58,108
SEL66E251,54,76
SEL66E252,52,104
SEL66E253,58,97
SEL66E254,60,77
SEL66E255,55,96
SEL66E256,54,79
SEL66E257,55,94
SEL66E258,45,54
SEL66E259,54,108
SEL66E260,61,79
SEL66E261,60,54
SEL66E262,43,60
SEL66E263,54,100
SEL66E264,60,79
SEL66E265,51,58
SEL66E266,52,99
SEL66E267,54,90
SEL66E268,54,63
SEL66E269,53,77
SEL66E270,58,102
SEL66E271,59,54
SEL66E272,55,90
SEL66E273,61,69
SEL66E274,52,61
SEL66E275,62,54
SEL76E030,51,105
SEL76E031,58,54
SEL76E032,55,54
SEL76E033,60,54
SEL76E034,57,54
SEL76E035,58,54
SEL76E036,54,54
SEL76E037,55,63
SEL76E038,50,54
SEL76E039,58,57
SEL76E040,57,81
SEL76E041,61,54
SEL76E042,56,54
SEL76E043,51,54
SEL76E044,53,54
SEL76E045,59,54
SEL76E046,45,54
SEL76E047,54,54
SEL76E048,53,54
SEL76E049,54,55
SEL76E050,51,71
SEL76E051,58,54
SEL76E052,55,54
SEL76E053,55,71
SEL76E054,57,54
SEL76E055,58,54
SEL76E056,52,54
SEL76E057,54,61
SEL76E058,53,91
SEL76E059,57,54
SEL76E060,56,54
SEL76E061,52,74
SEL76E062,57,54
SEL76E063,59,90
SEL76E064,53,54
SEL76E065,63,54
SEL76E066,56,54
SEL76E067,53,54
SEL76E068,51,54
SEL76E069,55,54
SEL76E070,50,54
SEL76E071,62,54
SEL76E072,56,71
SEL76E073,62,54
SEL76E074,50,54
SEL76E075,58,116
SEL76E076,65,107
SEL76E077,54,60
SEL76E078,53,54
SEL76E079,62,54
SEL76E080,63,54
SEL76E081,57,54
SEL76E082,56,54
SEL76E083,63,54
SEL76E084,69,54
SEL76E085,58,54
SEL76E086,57,54
SEL76E087,60,54
SEL76E088,58,54
SEL76E089,58,101
SEL76E090,59,54
SEL76E091,53,67
SEL76E092,51,65
SEL76E093,57,54
SEL76E094,52,61
SEL76E095,57,67
SEL76E096,50,88
SEL76E097,61,-999
SEL76E098,59,54
SEL76E099,54,54
SEL76E100,57,54
SEL76E101,59,54
SEL76E102,52,54
SEL76E103,50,54
SEL76E104,55,118
SEL76E105,57,54
SEL76E106,57,54
SEL76E107,54,56
SEL76E108,59,54
SEL76E109,57,54
SEL76E110,60,54
SEL76E111,59,54
SEL76E112,61,91
SEL76E113,58,92
SEL76E114,60,64
SEL76E115,59,63
SEL76E116,64,101
SEL76E117,57,115
SEL76E118,60,54
SEL76E119,62,108
SEL76E120,56,54
SEL76E121,61,114
SEL76E122,60,54
SEL76E123,65,54
SEL76E124,65,54
SEL76E125,65,54
SEL76E126,56,54
SEL76E127,54,54
SEL76E128,63,54
